geneID	Glc1	Glc2	Glc3	Lac1	Lac2	Lac3	LNT1	LNT2	LNT3	XGL1	XGL2	XGL3
BcK1E1_00638	3877.0024363549	2812.9991164494418	3340.9984236158175	3560.999522285789	3975.0002839606245	3805.0017188837082	4009.9996940965893	4761.998354714046	4876.0024162018235	3490.0025335383293	3465.998732724531	3931.0018512868764
BcK1E1_00639	16824.052388119977	14429.9970375883	13494.031184510142	10728.996329491325	11783.000402264395	10956.000727490527	10684.984939291464	14755.997344139589	12533.995324661577	10070.005676094164	10046.001709458455	13620.961253435247
BcK1E1_00640	50.00017925117753	69.99999080022349	51.00005611692266	84.99991029276451	114.00014585228428	129.0001369301603	87.00018693152136	132.9999332813002	105.00019009164596	81.00025764401715	88.99999078390712	148.9998790755376
BcK1E1_00641	82.99990369438018	82.99983560795842	58.999825305172195	146.00020795297198	167.9996959897847	129.99975268938894	135.9999764411361	195.0001681277804	203.99914877848823	120.99974268953471	123.99977238527792	234.99884946995067
BcK1E1_00642	117.00005307026748	119.9999863011818	117.99992283585732	248.9999126877378	249.99993026537175	227.99998300123445	175.00002489504132	308.9998710353911	221.00009500173576	229.00004078307637	247.00082128785266	371.9991228922845
BcK1E1_00643	12191.004435271861	21456.00599433792	8946.003780421905	958.9987061690541	1166.999128866641	1047.9992143529246	808.9992897051203	1044.000445188153	1045.99902868362	7589.001281055131	7091.000418965389	5750.995416467596
BcK1E1_00644	22208.036234438307	40732.015606505985	15139.98730894101	1296.9985659090771	1556.9990658062254	1494.9994900875315	1111.002211669963	1402.9987056535806	1183.002010409782	8616.006519189721	5712.999996563147	7747.01439839005
BcK1E1_00645	8138.00430917018	15341.008726659304	5300.9909523974675	498.99890679525436	640.001844973354	593.9993325037652	616.9987546255471	785.999465500796	605.0016400637359	3223.000425149393	2179.000054860399	3273.9998576644703
BcK1E1_00646	6246.019596146649	12007.012172907347	4332.9895257895705	1665.999968142119	1739.0006006499118	1676.997935985263	1898.0011674078185	2736.000546413761	2389.9993481164506	4233.0023892336885	3045.9977869806626	4464.99777828322
BcK1E1_00647	14483.00191568485	28417.999584257934	8915.969703159128	1321.0035381648652	1449.0027468677094	1405.0011112857708	1050.0028040687455	1450.9959780246443	1206.999690439945	5656.003030280911	4260.000638484745	5501.996634430176
BcK1E1_00648	35978.001181342144	61921.9324721916	20954.96781267086	1996.0032441185404	2309.0015843942215	2232.996921015056	2385.0023719443125	2928.997759137693	2806.0030264091993	10960.03550931234	8140.022143341035	10170.032327948993
BcK1E1_00649	10152.006209845125	19104.975352716443	5926.995235139516	557.9997868300189	593.99998638180125	525.0002932608237	951.9998754367822	1112.996560488292	1211.996683241535	3558.001783911862	2627.9994973121775	3596.0029795945393
BcK1E1_00650	17131.013264611847	27176.99747453794	10231.003800617713	990.0019011502139	1117.9991902730756	1018.001727270871	1539.99830795223	1965.9984757174675	1643.0023060687306	5364.977227845082	3739.9997600687448	4559.0013941821435
BcK1E1_00651	1047.0016765274888	1651.9995405523637	641.999883692181	199.9997295044449	227.99984662292985	238.0001412007459	196.99996205928153	324.0000544646826	224.99972562005814	501.9998234172671	362.9996088929716	451.00029888599886
BcK1E1_00652	19843.99446088649	17588.023356847476	16647.01175538874	14934.000476724601	16172.040537619963	15213.039260797024	14027.997911448248	15472.021648176502	16346.033539961152	9544.0219153189	10392.977904927518	10965.01110989906
BcK1E1_00653	21806.01061698289	17994.99606819181	17014.98970026479	17870.996696760496	19857.021765663045	18260.989790439904	17356.017120613393	19579.966823744227	21679.025497596343	13264.027443314042	13638.998767948573	14396.992937968715
BcK1E1_00654	31122.034185818884	24375.979045031338	24215.967318044135	25510.033537877385	29082.971619789958	26607.974067497067	27377.965555207607	32208.9671469384	35507.9594285346	22199.972157613003	22505.99351124427	23939.958543763314
BcK1E1_00655	911.0039249301013	871.9987050871073	669.9993337624336	565.0003430493863	649.0004392194077	675.0001450874227	671.9999076330911	876.9997093188115	760.99982728286	708.9998786631289	577.0000301695023	792.9998634874485
BcK1E1_00656	89.00000926669324	61.00012393685717	68.00000349700896	65.99990452930825	57.99998895245438	48.000036548747254	56.99999305264527	73.99993764261829	76.9997823077348	47.000006174295976	59.99995631847652	59.00021694487725
BcK1E1_00657	261.000059803467	215.00000690744974	233.99998645733695	332.99971787530467	331.9999667641191	352.9997933373479	284.00025501053284	391.0000373474378	314.999925578168	240.99996819415514	233.99989254781588	279.9999899765653
BcK1E1_00658	137.00013927154959	147.99997191220524	112.99993848961951	138.00000758997385	166.0001787967438	161.00019448986458	108.00005951737575	151.0000958112436	138.0000435039381	111.00005427226083	93.00011152494042	89.00013011995736
BcK1E1_00659	1.0000047539576733	6.000005987630949	2.000003117456681	4.000009381019662	2.0000006966422985	4.000009768773149	0	6.000010396247298	3.0000031499500763	5.000011484843847	0	1.0000048358299216
BcK1E1_00660	53.00013098083954	53.00000816427241	44.99991154029189	51.000006902532256	30.000016942698956	43.99989714252907	24.00000846971874	32.99999183738907	39.000019345278	23.000011067962745	11.999992278477436	18.999999351224353
BcK1E1_00661	157.99983395440822	147.000149876548	126.99977445799506	80.99971684121994	105.00014941925858	89.00001924422597	89.99991733013819	88.00003305182916	83.99990598326468	79.00008023857329	61.00010802234444	67.00024213465035
BcK1E1_00662	73.00011840716668	45.999985123162695	35.000005569569	31.99993064238272	36.00011773794289	30.999936676362044	25.999893881606283	29.0000006666299	39.00011770813812	31.00005140695431	23.00000467187522	24.000015326364608
BcK1E1_00663	222.99993234646533	231.00011208205942	199.99978481741493	84.0002441297292	84.00008431781542	91.00023533420568	70.99977760697368	111.00010060170595	84.99983623471854	89.00003607688583	102.00004463575587	100.00012346105213
BcK1E1_00664	85926.93785558922	74849.00195803905	65840.01887946257	131915.98403632495	143460.114275414	135213.00641559655	121680.91117560552	157243.00274888033	150812.95143059117	110400.08960477018	111716.8833929052	139313.91746767968
BcK1E1_00665	38523.12842922288	33172.087497680055	30702.105119854758	56149.91260553274	61479.17473036949	58265.04144643632	53900.131362389555	68796.9985411574	64762.989712284056	53376.1646750746	51387.14536026586	64321.92917035566
BcK1E1_00666	18320.001941817714	13431.982738824265	15264.984975094912	21052.988420168695	23719.988048142004	21398.005475546634	21228.015106040788	25390.027342286226	24200.997058957968	22157.99064694349	24052.013491183203	27738.97683971138
BcK1E1_00667	6193.024403913559	4581.0168720046	5149.0150689429765	4260.999334017582	4808.999856289165	4512.0023534888805	3741.000572586057	4289.001242041852	4162.000504383895	4049.99777810975	4311.99850186857	4834.003458529459
BcK1E1_00668	1997.0001832866328	2377.002060624463	1721.0000101648325	4618.99707592325	4744.998497872115	4683.002042575995	4398.001228837843	6601.979458222622	5571.99885361303	4783.00045945616	3526.9998533820763	6231.99737737524
BcK1E1_00669	0	0	0	0	0	0	0	0	0	0	0	0
BcK1E1_00670	275.000090511878	287.9998901178471	278.0000425799759	2006.002243296649	2245.002946035047	1897.000308629007	778.998846058149	1141.999786736025	898.9996421596097	871.0027760990047	803.0011792864992	1098.9989262842698
BcK1E1_00671	24.000050329759457	19.99998921049854	19.000023458200605	7.000006121557367	14.999988786720111	7.99999710491599	6.99999019154538	9.000001080458977	7.000011283999148	13.999994986512869	8.999994536861232	13.99999365137598
BcK1E1_00672	41692.066476316664	40780.971976130844	34282.95598199817	182182.46681619447	202723.0502709353	177760.57473849942	103460.02530913873	144815.00335654378	126712.981070808	143518.65837944264	137008.01003516777	147704.0603566414
