locus_tag	seed_id
BcK1E1_00770	fig|630129.38.peg.778
BcK1E1_00555	fig|630129.38.peg.565
BcK1E1_01612	fig|630129.38.peg.1641
BcK1E1_01116	fig|630129.38.peg.1132
BcK1E1_00564	fig|630129.38.peg.575
BcK1E1_00558	fig|630129.38.peg.568
BcK1E1_00539	fig|630129.38.peg.549
BcK1E1_01642	fig|630129.38.peg.1671
BcK1E1_01146	fig|630129.38.peg.1161
BcK1E1_00629	fig|630129.38.peg.638
BcK1E1_00599	fig|630129.38.peg.611
BcK1E1_00712	fig|630129.38.peg.721
BcK1E1_01670	fig|630129.38.peg.1700
BcK1E1_00214	fig|630129.38.peg.224
BcK1E1_00076	fig|630129.38.peg.76
BcK1E1_00742	fig|630129.38.peg.750
BcK1E1_00882	fig|630129.38.peg.895
